prioridad,query,intencion,volumen_mensual_estimado,dificultad,competencia,pagina_destino,score_oportunidad,notas
P0,chapa y pintura rosario,transaccional,560,media,media,/chapa-y-pintura/rosario,9.2,head term del nicho - 5-6 competidores reales
P0,taller chapa y pintura rosario,transaccional,400,media,media,/chapa-y-pintura/rosario,9.0,variante head term - mismo destino
P0,sacabollos rosario,transaccional,320,baja,baja,/abolladuras-sin-pintura/rosario,9.5,competencia floja - artesanos sin SEO
P0,taller siniestros rosario,transaccional,180,baja,baja,/siniestros/rosario,9.0,hueco grande
P0,reparacion siniestros rosario,transaccional,140,baja,baja,/siniestros/rosario,8.8,variante
P0,taller habilitado la caja rosario,transaccional,80,muy baja,ninguna,/aseguradoras/la-caja/rosario,9.8,CERO competencia con intent taller
P0,taller habilitado sancor rosario,transaccional,70,muy baja,ninguna,/aseguradoras/sancor-seguros/rosario,9.8,idem
P0,taller habilitado federacion patronal rosario,transaccional,60,muy baja,ninguna,/aseguradoras/federacion-patronal/rosario,9.8,idem
P0,taller habilitado allianz rosario,transaccional,40,muy baja,ninguna,/aseguradoras/allianz/rosario,9.7,idem
P0,taller habilitado zurich rosario,transaccional,30,muy baja,ninguna,/aseguradoras/zurich/rosario,9.5,idem
P0,taller habilitado san cristobal rosario,transaccional,50,muy baja,ninguna,/aseguradoras/san-cristobal/rosario,9.7,cooperativa fuerte en zona
P0,taller habilitado mercantil andina rosario,transaccional,25,muy baja,ninguna,/aseguradoras/mercantil-andina/rosario,9.3,
P0,taller habilitado provincia seguros rosario,transaccional,20,muy baja,ninguna,/aseguradoras/provincia-seguros/rosario,9.0,
P0,reparar siniestro la caja rosario,transaccional,40,muy baja,ninguna,/siniestros/aseguradoras/la-caja,9.5,combo siniestro x aseguradora
P0,reparar siniestro sancor rosario,transaccional,35,muy baja,ninguna,/siniestros/aseguradoras/sancor-seguros,9.5,
P0,siniestro federacion patronal rosario,transaccional,30,muy baja,ninguna,/siniestros/aseguradoras/federacion-patronal,9.3,
P0,reparacion granizo rosario,transaccional,90,baja,baja,/granizo/rosario,9.0,ESTACIONAL spike oct-mar
P0,arreglo granizo auto rosario,transaccional,70,baja,baja,/granizo/rosario,8.8,
P0,sacabollos granizo rosario,transaccional,50,baja,baja,/granizo/rosario,8.7,sub-keyword
P1,pintura automotor rosario,transaccional,180,media,media,/pintura-automotor/rosario,8.0,competencia mediana
